question,triage
"Rushed my baby brother (47, her) to hospital because of intense abdominal pain after eating questionable food. Was this the right thing?",urgent
"I am 77 years old he. Since while shopping, I have been having severe allergic reaction with tongue swelling. Should I go to the emergency room?",urgent
"My stepmother, aged 42, suddenly got unable to speak and face drooping on one side after intense abdominal cramps. Is this life-threatening?",urgent
"What should I do right now about sudden vision loss in one eye while at work? Age 63, girl.",urgent
Emergency? swallowing household product (poison ingestion) started when I woke up in a 38 year old woman.,urgent
Can you help? I'm a 70 year old boy and I just had uncontrolled bleeding after dental procedure after eating unknown food.,urgent
"Worried! very rapid irregular heartbeat and dizziness started in my my teammate, aged 59, after a heated argument.",urgent
Emergency? sudden severe chest pain and shortness of breath started after being stung by an insect in a 27 year old girl.,urgent
"My niece, aged 13, suddenly got very rapid irregular heartbeat and dizziness as soon as I started running. Is this life-threatening?",urgent
"major burns with skin peeling off since this morning, happened to a 50 year old. Is this time critical?",urgent
"What should I do right now about choking and cannot breathe when I woke up? Age 71, .",urgent
"I am 45 years old man. Since while exercising, I have been having broken bone visible through skin. Should I go to the emergency room?",urgent
Emergency? loss of movement in both arms after electric shock started after being stung by an insect in a 87 year old her.,urgent
"I'm 69, , feeling severe dehydration after prolonged vomiting following a seizure. Is this urgent?",urgent
In what cases should someone with new epileptic seizures for the first time as soon as I started running (age 34) seek emergency care?,urgent
"71 years old, him with intense abdominal pain after eating questionable food after a fever for three days. Really scared, advice please!",urgent
"Rushed my my boss (55, he) to hospital because of acute eye pain and sudden vision blurring. Was this the right thing?",urgent
"Patient: 44 years, she. Presents: major burns with skin peeling off when I woke up. Admission needed?",urgent
"My boyfriend, aged 33, suddenly got intense abdominal pain after eating questionable food following a fall down the stairs. Is this life-threatening?",urgent
Emergency? severe allergic reaction with tongue swelling started after a dental procedure in a 31 year old .,urgent
"My my classmate, aged 41, suddenly got severe persistent headache and stiff neck following heavy exertion. Is this life-threatening?",urgent
"What should I do right now about loss of movement in both arms after electric shock after a dental procedure? Age 22, .",urgent
"What should I do right now about major burns with skin peeling off after intense abdominal cramps? Age 20, woman.",urgent
"What should I do right now about loss of movement in both arms after electric shock after a heated argument? Age 30, her.",urgent
"choking and cannot breathe while shopping, happened to a 43 year old. Is this time critical?",urgent
My son (26 years old) just developed intense abdominal pain after eating questionable food as soon as I started running. Should we call an ambulance?,urgent
"ER or wait? loss of consciousness after a head injury during the night, age 83.",urgent
"Do I need to worry about high fever and purple skin spots? I'm 47, , it started since this morning.",urgent
"Do I need to worry about breathing difficulty and wheezing after bee sting? I'm 83, boy, it started for the past hour.",urgent
"Worried! vomiting blood and feeling faint started in my baby sister, aged 25, during the night.",urgent
"I'm 40, him, feeling very rapid irregular heartbeat and dizziness with sweating and nausea. Is this urgent?",urgent
My father (39 years old) just developed blood in stool with strong abdominal pain since this morning. Should we call an ambulance?,urgent
My grandmother (75 years old) just developed blood in stool with strong abdominal pain with very high fever. Should we call an ambulance?,urgent
"I suddenly have high fever and purple skin spots and I am 2 years old him. I'm really scared, what do I do?",urgent
Can you help? I'm a 8 year old boy and I just had swallowing household product (poison ingestion) after an episode of choking.,urgent
